sequence,module,start_seconds,end_seconds,print_IDs,components
21,shoulder,14.833,15.333,,"shoulder-output-bolt-(-1, 0)-head | shoulder-output-bolt-(-1, 0)-thread-envelope | shoulder-output-bolt-(-1, 1)-head | shoulder-output-bolt-(-1, 1)-thread-envelope | shoulder-output-bolt-(-1, 2)-head | shoulder-output-bolt-(-1, 2)-thread-envelope | shoulder-output-bolt-(-1, 3)-head | shoulder-output-bolt-(-1, 3)-thread-envelope | shoulder-output-bolt-(-1, 4)-head | shoulder-output-bolt-(-1, 4)-thread-envelope | shoulder-output-bolt-(-1, 5)-head | shoulder-output-bolt-(-1, 5)-thread-envelope | shoulder-output-bolt-(-1, 6)-head | shoulder-output-bolt-(-1, 6)-thread-envelope | shoulder-output-bolt-(-1, 7)-head | shoulder-output-bolt-(-1, 7)-thread-envelope | shoulder-output-bolt-(1, 0)-head | shoulder-output-bolt-(1, 0)-thread-envelope | shoulder-output-bolt-(1, 1)-head | shoulder-output-bolt-(1, 1)-thread-envelope | shoulder-output-bolt-(1, 2)-head | shoulder-output-bolt-(1, 2)-thread-envelope | shoulder-output-bolt-(1, 3)-head | shoulder-output-bolt-(1, 3)-thread-envelope | shoulder-output-bolt-(1, 4)-head | shoulder-output-bolt-(1, 4)-thread-envelope | shoulder-output-bolt-(1, 5)-head | shoulder-output-bolt-(1, 5)-thread-envelope | shoulder-output-bolt-(1, 6)-head | shoulder-output-bolt-(1, 6)-thread-envelope | shoulder-output-bolt-(1, 7)-head | shoulder-output-bolt-(1, 7)-thread-envelope | shoulder-carrier-foot-(-4, -40.5)-head | shoulder-carrier-foot-(-4, -40.5)-thread-envelope | shoulder-carrier-foot-(4, -40.5)-head | shoulder-carrier-foot-(4, -40.5)-thread-envelope | shoulder-carrier-foot-(-4, 40.5)-head | shoulder-carrier-foot-(-4, 40.5)-thread-envelope | shoulder-carrier-foot-(4, 40.5)-head | shoulder-carrier-foot-(4, 40.5)-thread-envelope | lower-flange-(-1, 0)-head | lower-flange-(-1, 0)-thread-envelope | lower-flange-(-1, 1)-head | lower-flange-(-1, 1)-thread-envelope | lower-flange-(-1, 2)-head | lower-flange-(-1, 2)-thread-envelope | lower-flange-(-1, 3)-head | lower-flange-(-1, 3)-thread-envelope | lower-flange-(1, 0)-head | lower-flange-(1, 0)-thread-envelope | lower-flange-(1, 1)-head | lower-flange-(1, 1)-thread-envelope | lower-flange-(1, 2)-head | lower-flange-(1, 2)-thread-envelope | lower-flange-(1, 3)-head | lower-flange-(1, 3)-thread-envelope"
22,shoulder,15.5,16.167,P24 P25,shoulder-flush-bearing-cap--1 | shoulder-flush-bearing-cap-1
23,shoulder,16.333,16.833,,"shoulder-bearing-cap-(-1, 0.7853981633974483)-head | shoulder-bearing-cap-(-1, 0.7853981633974483)-thread-envelope | shoulder-bearing-cap-(-1, 2.356194490192345)-head | shoulder-bearing-cap-(-1, 2.356194490192345)-thread-envelope | shoulder-bearing-cap-(-1, 3.9269908169872414)-head | shoulder-bearing-cap-(-1, 3.9269908169872414)-thread-envelope | shoulder-bearing-cap-(-1, 5.497787143782138)-head | shoulder-bearing-cap-(-1, 5.497787143782138)-thread-envelope | shoulder-bearing-cap-(1, 0.7853981633974483)-head | shoulder-bearing-cap-(1, 0.7853981633974483)-thread-envelope | shoulder-bearing-cap-(1, 2.356194490192345)-head | shoulder-bearing-cap-(1, 2.356194490192345)-thread-envelope | shoulder-bearing-cap-(1, 3.9269908169872414)-head | shoulder-bearing-cap-(1, 3.9269908169872414)-thread-envelope | shoulder-bearing-cap-(1, 5.497787143782138)-head | shoulder-bearing-cap-(1, 5.497787143782138)-thread-envelope"
24,shoulder,18.417,18.917,,"shoulder-floor-(-16, -34)-head | shoulder-floor-(-16, -34)-thread-envelope | shoulder-floor-(-16, 34)-head | shoulder-floor-(-16, 34)-thread-envelope | shoulder-floor-(16, -34)-head | shoulder-floor-(16, -34)-thread-envelope | shoulder-floor-(16, 34)-head | shoulder-floor-(16, 34)-thread-envelope"
25,elbow,19.083,19.583,,elbow-cradle-floor
26,elbow,19.75,20.417,P05 P06,elbow-motor-mount--1 | elbow-motor-mount-1
27,elbow,20.583,21.083,,"elbow-mount-foot-nut-(-1, -11) | elbow-mount-foot-nut-(-1, 11) | elbow-mount-foot-nut-(1, -11) | elbow-mount-foot-nut-(1, 11)"
28,elbow,21.25,21.75,,elbow-servo | elbow-output--1 | elbow-output-1
29,elbow,21.917,22.417,,"elbow-case-mount-(-1, -8, -38)-head | elbow-case-mount-(-1, -8, -38)-thread-envelope | elbow-case-mount-(-1, -8, -6)-head | elbow-case-mount-(-1, -8, -6)-thread-envelope | elbow-case-mount-(-1, 8, -38)-head | elbow-case-mount-(-1, 8, -38)-thread-envelope | elbow-mount-foot-(-1, -11)-head | elbow-mount-foot-(-1, -11)-thread-envelope | elbow-mount-foot-(-1, 11)-head | elbow-mount-foot-(-1, 11)-thread-envelope | elbow-case-mount-(1, -8, -38)-head | elbow-case-mount-(1, -8, -38)-thread-envelope | elbow-case-mount-(1, -8, -6)-head | elbow-case-mount-(1, -8, -6)-thread-envelope | elbow-case-mount-(1, 8, -38)-head | elbow-case-mount-(1, 8, -38)-thread-envelope | elbow-mount-foot-(1, -11)-head | elbow-mount-foot-(1, -11)-thread-envelope | elbow-mount-foot-(1, 11)-head | elbow-mount-foot-(1, 11)-thread-envelope"
30,elbow,22.583,23.083,,elbow-bearing-carrier--1
31,elbow,23.25,23.75,,elbow-61806-bearing--1
32,elbow,23.917,24.583,P30,upper-U-body | elbow-drive-flange--1 | elbow-drive-flange-1
33,elbow,24.75,25.25,,"upper-cassette-nut-(-16, 89) | upper-cassette-nut-(-16, 103) | upper-cassette-nut-(16, 89) | upper-cassette-nut-(16, 103)"
34,elbow,25.417,25.917,,elbow-bearing-carrier-1
35,elbow,26.083,26.583,,elbow-61806-bearing-1
36,elbow,26.75,27.25,,"elbow-output-bolt-(-1, 0)-head | elbow-output-bolt-(-1, 0)-thread-envelope | elbow-output-bolt-(-1, 1)-head | elbow-output-bolt-(-1, 1)-thread-envelope | elbow-output-bolt-(-1, 2)-head | elbow-output-bolt-(-1, 2)-thread-envelope | elbow-output-bolt-(-1, 3)-head | elbow-output-bolt-(-1, 3)-thread-envelope | elbow-output-bolt-(-1, 4)-head | elbow-output-bolt-(-1, 4)-thread-envelope | elbow-output-bolt-(-1, 5)-head | elbow-output-bolt-(-1, 5)-thread-envelope | elbow-output-bolt-(-1, 6)-head | elbow-output-bolt-(-1, 6)-thread-envelope | elbow-output-bolt-(-1, 7)-head | elbow-output-bolt-(-1, 7)-thread-envelope | elbow-output-bolt-(1, 0)-head | elbow-output-bolt-(1, 0)-thread-envelope | elbow-output-bolt-(1, 1)-head | elbow-output-bolt-(1, 1)-thread-envelope | elbow-output-bolt-(1, 2)-head | elbow-output-bolt-(1, 2)-thread-envelope | elbow-output-bolt-(1, 3)-head | elbow-output-bolt-(1, 3)-thread-envelope | elbow-output-bolt-(1, 4)-head | elbow-output-bolt-(1, 4)-thread-envelope | elbow-output-bolt-(1, 5)-head | elbow-output-bolt-(1, 5)-thread-envelope | elbow-output-bolt-(1, 6)-head | elbow-output-bolt-(1, 6)-thread-envelope | elbow-output-bolt-(1, 7)-head | elbow-output-bolt-(1, 7)-thread-envelope | elbow-carrier-foot-(-4, -40.5)-head | elbow-carrier-foot-(-4, -40.5)-thread-envelope | elbow-carrier-foot-(4, -40.5)-head | elbow-carrier-foot-(4, -40.5)-thread-envelope | elbow-carrier-foot-(-4, 40.5)-head | elbow-carrier-foot-(-4, 40.5)-thread-envelope | elbow-carrier-foot-(4, 40.5)-head | elbow-carrier-foot-(4, 40.5)-thread-envelope | upper-flange-(-1, 0)-head | upper-flange-(-1, 0)-thread-envelope | upper-flange-(-1, 1)-head | upper-flange-(-1, 1)-thread-envelope | upper-flange-(-1, 2)-head | upper-flange-(-1, 2)-thread-envelope | upper-flange-(-1, 3)-head | upper-flange-(-1, 3)-thread-envelope | upper-flange-(1, 0)-head | upper-flange-(1, 0)-thread-envelope | upper-flange-(1, 1)-head | upper-flange-(1, 1)-thread-envelope | upper-flange-(1, 2)-head | upper-flange-(1, 2)-thread-envelope | upper-flange-(1, 3)-head | upper-flange-(1, 3)-thread-envelope"
37,elbow,27.417,28.083,P03 P04,elbow-flush-bearing-cap--1 | elbow-flush-bearing-cap-1
38,elbow,28.25,28.75,,"elbow-bearing-cap-(-1, 0.7853981633974483)-head | elbow-bearing-cap-(-1, 0.7853981633974483)-thread-envelope | elbow-bearing-cap-(-1, 2.356194490192345)-head | elbow-bearing-cap-(-1, 2.356194490192345)-thread-envelope | elbow-bearing-cap-(-1, 3.9269908169872414)-head | elbow-bearing-cap-(-1, 3.9269908169872414)-thread-envelope | elbow-bearing-cap-(-1, 5.497787143782138)-head | elbow-bearing-cap-(-1, 5.497787143782138)-thread-envelope | elbow-bearing-cap-(1, 0.7853981633974483)-head | elbow-bearing-cap-(1, 0.7853981633974483)-thread-envelope | elbow-bearing-cap-(1, 2.356194490192345)-head | elbow-bearing-cap-(1, 2.356194490192345)-thread-envelope | elbow-bearing-cap-(1, 3.9269908169872414)-head | elbow-bearing-cap-(1, 3.9269908169872414)-thread-envelope | elbow-bearing-cap-(1, 5.497787143782138)-head | elbow-bearing-cap-(1, 5.497787143782138)-thread-envelope"
39,elbow,30.333,30.833,,"elbow-cassette-(-16, -48)-head | elbow-cassette-(-16, -48)-thread-envelope | elbow-cassette-(-16, -34)-head | elbow-cassette-(-16, -34)-thread-envelope | elbow-cassette-(16, -48)-head | elbow-cassette-(16, -48)-thread-envelope | elbow-cassette-(16, -34)-head | elbow-cassette-(16, -34)-thread-envelope"
40,wrist,31.0,31.667,P35,wrist-pitch-cassette
41,wrist,31.833,32.333,,"wrist-cage-nut-(-15.8, -12) | wrist-cage-nut-(-15.8, 12) | wrist-cage-nut-(15.8, -12) | wrist-cage-nut-(15.8, 12)"
42,wrist,32.5,33.0,,wrist-servo
43,wrist,33.167,33.833,P31,wrist-case-retainer
44,wrist,34.0,34.5,,"wrist-cage-(-15.8, -12)-head | wrist-cage-(-15.8, -12)-thread-envelope | wrist-cage-(-15.8, 12)-head | wrist-cage-(-15.8, 12)-thread-envelope | wrist-cage-(15.8, -12)-head | wrist-cage-(15.8, -12)-thread-envelope | wrist-cage-(15.8, 12)-head | wrist-cage-(15.8, 12)-thread-envelope"
45,wrist,34.667,35.167,,wrist-extension-hub--1 | wrist-extension-hub-1 | wrist-output--1 | wrist-output-1
46,wrist,35.333,36.0,P32 P33,wrist-cheek--1 | wrist-cheek-1
47,wrist,36.167,36.833,P34,"wrist-cross-bridge | wrist-pivot-(-1, 7, 0)-head | wrist-pivot-(-1, 7, 0)-thread-envelope | wrist-pivot-(-1, -7, 0)-head | wrist-pivot-(-1, -7, 0)-thread-envelope | wrist-pivot-(-1, 0, 7)-head | wrist-pivot-(-1, 0, 7)-thread-envelope | wrist-pivot-(-1, 0, -7)-head | wrist-pivot-(-1, 0, -7)-thread-envelope | wrist-pivot-(1, 7, 0)-head | wrist-pivot-(1, 7, 0)-thread-envelope | wrist-pivot-(1, -7, 0)-head | wrist-pivot-(1, -7, 0)-thread-envelope | wrist-pivot-(1, 0, 7)-head | wrist-pivot-(1, 0, 7)-thread-envelope | wrist-pivot-(1, 0, -7)-head | wrist-pivot-(1, 0, -7)-thread-envelope"
48,wrist,37.0,37.667,P22,roll-motor-cradle
49,wrist,37.833,38.333,,roll-servo | roll-output--1 | roll-output-1
50,wrist,38.5,39.167,P28,tool-dock
51,wrist,39.333,39.833,,"tool-lock-nut-(-17, -18) | tool-lock-nut-(-17, 18) | tool-lock-nut-(17, -18) | tool-lock-nut-(17, 18) | tool-dowel--12 | tool-dowel-12"
52,wrist,40.0,40.5,,"roll-dock-bolt-(7, 0)-head | roll-dock-bolt-(7, 0)-thread-envelope | roll-dock-bolt-(-7, 0)-head | roll-dock-bolt-(-7, 0)-thread-envelope | roll-dock-bolt-(0, 7)-head | roll-dock-bolt-(0, 7)-thread-envelope | roll-dock-bolt-(0, -7)-head | roll-dock-bolt-(0, -7)-thread-envelope"
53,wrist,40.667,41.333,P36,wrist-vented-cover
54,wrist,42.917,43.417,,"wrist-cassette-(-16, -48)-head | wrist-cassette-(-16, -48)-thread-envelope | wrist-cassette-(-16, -34)-head | wrist-cassette-(-16, -34)-thread-envelope | wrist-cassette-(16, -48)-head | wrist-cassette-(16, -48)-thread-envelope | wrist-cassette-(16, -34)-head | wrist-cassette-(16, -34)-thread-envelope"
55,hand,43.583,44.25,P12,gripper-tool-plate
56,hand,44.417,45.083,P14,hand-servo-cradle
57,hand,45.25,45.75,,"hand-adapter-nut-8 | hand-adapter-nut-20 | fixed-jaw-nut-(21, 0) | fixed-jaw-nut-(35, 0) | fixed-jaw-nut-(28, 7) | fixed-jaw-nut-(28, -7) | hand-clamp-nut-(-15.25, -9) | hand-clamp-nut-(-15.25, -16) | hand-clamp-nut-(15.25, -12) | hand-clamp-nut-(15.25, 12)"
58,hand,45.917,46.417,,gripper-servo | gripper-output--1 | gripper-output-1
59,hand,46.583,47.25,P13,hand-case-retainer
60,hand,47.417,47.917,,"hand-adapter-bolt-8-head | hand-adapter-bolt-8-thread-envelope | hand-adapter-bolt-20-head | hand-adapter-bolt-20-thread-envelope | hand-case-clamp-(-15.25, -9)-head | hand-case-clamp-(-15.25, -9)-thread-envelope | hand-case-clamp-(-15.25, -16)-head | hand-case-clamp-(-15.25, -16)-thread-envelope | hand-case-clamp-(15.25, -12)-head | hand-case-clamp-(15.25, -12)-thread-envelope | hand-case-clamp-(15.25, 12)-head | hand-case-clamp-(15.25, 12)-thread-envelope"
61,hand,48.083,48.75,P11 P19,moving-jaw | fixed-jaw
62,hand,48.917,49.417,,"fixed-jaw-bolt-(7, 0)-head | fixed-jaw-bolt-(7, 0)-thread-envelope | fixed-jaw-bolt-(-7, 0)-head | fixed-jaw-bolt-(-7, 0)-thread-envelope | fixed-jaw-bolt-(0, 7)-head | fixed-jaw-bolt-(0, 7)-thread-envelope | fixed-jaw-bolt-(0, -7)-head | fixed-jaw-bolt-(0, -7)-thread-envelope | moving-jaw-bolt-(7, 0)-head | moving-jaw-bolt-(7, 0)-thread-envelope | moving-jaw-bolt-(-7, 0)-head | moving-jaw-bolt-(-7, 0)-thread-envelope | moving-jaw-bolt-(0, 7)-head | moving-jaw-bolt-(0, 7)-thread-envelope | moving-jaw-bolt-(0, -7)-head | moving-jaw-bolt-(0, -7)-thread-envelope"
63,hand,49.583,50.25,P08 P09 P10 P16 P17 P18,moving-TPU-pad-40 | moving-TPU-pad-56 | moving-TPU-pad-72 | fixed-TPU-pad-40 | fixed-TPU-pad-56 | fixed-TPU-pad-72
64,hand,51.833,52.333,,"tool-retention-(-17, -18)-head | tool-retention-(-17, -18)-thread-envelope | tool-retention-(-17, 18)-head | tool-retention-(-17, 18)-thread-envelope | tool-retention-(17, -18)-head | tool-retention-(17, -18)-thread-envelope | tool-retention-(17, 18)-head | tool-retention-(17, 18)-thread-envelope"
65,finish,52.5,53.167,P01,base-electronics-shell
66,finish,53.333,53.833,,TTL-RS485-controller-envelope | service-connector
67,finish,54.0,54.667,P07 P23,shoulder-diamond-fascia | electronics-service-lid
