harness,from_terminal,to_terminal,net,awg,proposed_cut_length_mm,status,note,from_world_xyz_mm,to_world_xyz_mm,endpoint_evidence
W04,Carrier J2.6,Adafruit5206 JP1.9 DC,LCD_DC,28,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Manufacturer Eagle JP1 mapping; directly solder low-profile insulated wires.,"[19.990000000000002, 8.8, 64.41]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W04,Carrier J2.7,Adafruit5206 JP1.8 RST,LCD_RST,28,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Manufacturer Eagle JP1 mapping; directly solder low-profile insulated wires.,"[19.990000000000002, 8.8, 61.870000000000005]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W04,Carrier J2.8,Adafruit5206 JP1.11 Lite,LCD_BL,28,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Manufacturer Eagle JP1 mapping; directly solder low-profile insulated wires.,"[19.990000000000002, 8.8, 59.33]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W04A,Display JP1.10 CARDCS,Display JP1.2 3Vo output,DISPLAY_LOCAL_3VO,28,15,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Disable unused SD slot. Do not join display 3Vo output to XIAO 3V3 output.,,,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W05,Carrier J6.1,OmronB3F1002G terminal1,BUTTON_N,28,80,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Terminals1/2 already internally connected; verify orientation and continuity before soldering.,"[-16.84, 8.8, 80.92]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W05,Carrier J6.2,OmronB3F1002G terminal3,GND,28,80,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Terminals3/4 already internally connected; unused duplicate leads insulated.,"[-14.3, 8.8, 80.92]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W06,Carrier J7.1,Charger JP3.8,ISET,28,110,assembly proposal; cut lengths include service allowance and await native route + physical assembly,,"[-21.92, 8.8, 54.25]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W06,Carrier J7.2,Charger JP3.10,GND,28,110,assembly proposal; cut lengths include service allowance and await native route + physical assembly,,"[-21.92, 8.8, 51.71]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W06,Carrier J7.3,Charger JP3.9,NTC_TS,28,110,assembly proposal; cut lengths include service allowance and await native route + physical assembly,,"[-21.92, 8.8, 49.17]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W07,Carrier J8.1,NTC lead1,NTC_TS,28,120,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Semitec103AT-2 thermally coupled to pack with electrical insulation; no pouch puncture,"[-6.68, 8.8, 44.09]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W07,Carrier J8.2,NTC lead2,GND,28,120,assembly proposal; cut lengths include service allowance and await native route + physical assembly,,"[-4.140000000000001, 8.8, 44.09]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W08_OPTION,Carrier J3.1,Adafruit3006 labeled VIN,+5V,24,100,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Optional unpopulated audio,"[17.450000000000003, 8.8, 54.25]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W08_OPTION,Carrier J3.2,Adafruit3006 labeled GND,GND,24,100,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Optional unpopulated audio,"[17.450000000000003, 8.8, 51.71]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W08_OPTION,Carrier J3.3,Adafruit3006 labeled BCLK,I2S_BCLK,28,100,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Optional unpopulated audio,"[17.450000000000003, 8.8, 49.17]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W08_OPTION,Carrier J3.4,Adafruit3006 labeled LRC,I2S_LRCLK,28,100,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Optional unpopulated audio,"[17.450000000000003, 8.8, 46.63]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W08_OPTION,Carrier J3.5,Adafruit3006 labeled DIN,I2S_DIN,28,100,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Optional unpopulated audio,"[17.450000000000003, 8.8, 44.09]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W09_OPTION,Audio speaker +,Speaker +,BTL_PLUS,26,80,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Speaker impedance/power selection open; neither BTL terminal may be grounded,,,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W09_OPTION,Audio speaker -,Speaker -,BTL_MINUS,26,80,assembly proposal; cut lengths include service allowance and await native route + physical assembly,,,,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W10,Protected pack positive,Inline pack fuse then charger BATT positive,PACK_POSITIVE,24,100,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Pack drawing gives 100mm leads; inline fuse exact part/rating/holder coordination not released,,,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W10,Protected pack negative,Charger BATT GND,PACK_NEGATIVE,24,100,assembly proposal; cut lengths include service allowance and await native route + physical assembly,,,,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
